LanguageSkid,ChorusSkid,SentenceSequenceNbr,SentenceSkid
1,504,4,11341
1,505,1,11338
1,505,2,11339
1,505,3,11340
1,505,4,11341
1,506,1,11338
1,506,2,11339
1,506,3,11340
1,506,4,11341
1,507,1,11414
1,507,2,11411
1,508,1,11414
1,508,2,11411
1,509,1,11414
1,509,2,11411
1,510,1,11414
1,510,2,11411
1,511,1,11722
1,511,2,11723
1,511,3,11724
1,512,1,11722
1,512,2,11723
1,512,3,11724
1,513,1,11722
1,513,2,11723
1,513,3,11724
1,514,1,11722
1,514,2,11723
1,514,3,11724
1,515,1,11746
1,515,2,11747
1,515,3,11748
1,515,4,11749
1,516,1,11746
1,516,2,11747
1,516,3,11748
1,516,4,11749
1,517,1,11746
1,517,2,11747
1,517,3,11748
1,517,4,11749
1,518,1,11746
1,518,2,11747
1,518,3,11748
1,518,4,11749
1,519,1,11746
1,519,2,11747
1,519,3,11748
1,519,4,11749
1,520,1,11746
1,520,2,11747
1,520,3,11748
1,520,4,11749
1,521,1,11937
1,522,1,11937
1,523,1,11937
1,524,1,11937
1,525,1,11937
1,526,1,11979
1,526,2,11980
1,527,1,11979
1,527,2,11980
1,528,1,11979
1,528,2,11980
1,529,1,11979
1,529,2,11980
1,530,1,11979
1,530,2,11980
1,531,1,12021
1,531,2,12022
1,532,1,12021
1,532,2,12022
1,533,1,12021
1,533,2,12022
1,534,1,12021
1,534,2,12022
1,535,1,12021
1,535,2,12022
1,536,1,12021
1,536,2,12022
1,537,1,12188
1,537,2,12189
1,537,3,12190
1,538,1,12188
1,538,2,12189
1,538,3,12190
1,539,1,12188
1,539,2,12189
1,539,3,12190
1,540,1,12188
1,540,2,12189
1,540,3,12190
1,541,1,12188
1,541,2,12189
1,541,3,12190
1,545,1,12250
1,545,2,12251
1,545,3,12252
1,546,1,12250
1,546,2,12251
1,546,3,12252
1,547,1,12250
1,547,2,12251
1,547,3,12252
1,548,1,12250
1,548,2,12251
1,548,3,12252
1,549,1,12281
1,549,2,12282
1,549,3,12283
1,550,1,12281
1,550,2,12282
1,550,3,12283
1,551,1,12281
1,551,2,12282
1,551,3,12283
1,552,1,12281
1,552,2,12282
1,552,3,12283
1,553,1,12312
1,553,2,12313
1,554,1,12312
1,554,2,12313
1,555,1,12312
1,555,2,12313
1,556,1,12312
1,556,2,12313
1,557,1,12388
1,557,2,12389
1,557,3,12388
1,557,4,12390
1,558,1,12388
1,558,2,12389
1,558,3,12388
1,558,4,12390
1,559,1,12388
1,559,2,12389
1,559,3,12388
1,559,4,12390
1,560,1,12388
1,560,2,12389
1,560,3,12388
1,560,4,12390
1,561,1,12388
1,561,2,12389
1,561,3,12388
1,561,4,12390
1,562,1,12434
1,562,2,12435
1,563,1,12434
1,563,2,12435
1,564,1,12434
1,564,2,12435
1,565,1,12468
1,565,2,12469
1,566,1,12468
1,566,2,12469
1,567,1,12468
1,567,2,12469
1,568,1,12492
1,568,2,12493
1,568,3,12493
1,569,1,12492
1,569,2,12493
1,569,3,12493
1,570,1,12492
1,570,2,12493
1,570,3,12493
1,571,1,12492
1,571,2,12493
1,571,3,12493
1,572,1,12565
1,572,2,12566
1,573,1,12565
1,573,2,12566
1,574,1,12565
1,574,2,12566
1,575,1,12565
1,575,2,12566
1,576,1,12691
1,576,2,12692
1,576,3,12693
1,576,4,12694
1,577,1,12691
1,577,2,12692
1,577,3,12693
1,577,4,12694
1,578,1,12691
1,578,2,12692
1,578,3,12693
1,578,4,12694
1,579,1,12729
1,579,2,12730
1,580,1,12729
1,580,2,12730
1,581,1,12729
1,581,2,12730
1,582,1,12755
1,582,2,12756
1,582,3,12757
1,582,4,12756
1,583,1,12755
1,583,2,12756
1,583,3,12757
1,583,4,12756
1,584,1,12755
1,584,2,12756
1,584,3,12757
1,584,4,12756
1,585,1,12755
1,585,2,12756
1,585,3,12757
1,585,4,12756
1,586,1,12778
1,586,2,12779
1,586,3,12780
1,586,4,12781
1,586,5,12782
1,586,6,12783
1,587,1,12778
1,587,2,12779
1,587,3,12780
1,587,4,12781
1,587,5,12782
1,587,6,12783
1,588,1,12778
1,588,2,12779
1,588,3,12780
1,588,4,12781
1,588,5,12782
1,588,6,12783
1,589,1,12778
1,589,2,12779
1,589,3,12780
1,589,4,12781
1,589,5,12782
1,589,6,12783
1,590,1,12849
1,590,2,12850
1,591,1,12849
1,591,2,12850
1,592,1,12849
1,592,2,12850
1,593,1,12849
1,593,2,12850
1,594,1,12879
1,594,2,12880
1,594,3,12879
1,594,4,12880
1,595,1,12879
1,595,2,12880
1,595,3,12879
1,595,4,12880
1,596,1,12879
1,596,2,12880
1,596,3,12879
1,596,4,12880
1,597,1,12906
1,597,2,12907
1,597,3,12908
1,598,1,12906
1,598,2,12907
1,598,3,12908
1,599,1,12906
1,599,2,12907
1,599,3,12908
1,600,1,12906
1,600,2,12907
1,600,3,12908
1,604,1,13059
1,604,2,13063
1,604,3,13064
1,604,4,13065
1,605,1,13059
1,605,2,13063
1,605,3,13064
1,605,4,13065
1,606,1,13059
1,606,2,13063
1,606,3,13064
1,606,4,13065
1,607,1,13373
1,607,2,13374
1,608,1,13373
1,608,2,13374
1,609,1,13373
1,609,2,13374
1,610,1,13373
1,610,2,13374
1,611,1,13415
1,611,2,13416
1,612,1,13415
1,612,2,13416
1,613,1,13415
1,613,2,13416
1,614,1,13433
1,614,2,13434
1,614,3,13435
1,614,4,13436
1,615,1,13433
1,615,2,13434
1,615,3,13435
1,615,4,13436
